"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [101,33]
Matrix Size : scalar
Type : Real"
-2.8000,13.0000,0.0933
-2.8000,14.0000,0.0949
-2.8000,15.0000,0.0962
-2.8000,16.0000,0.0974
-2.8000,17.0000,0.0985
-2.8000,18.0000,0.0994
-2.8000,19.0000,0.1003
-2.8000,20.0000,0.1010
-2.8000,21.0000,0.1017
-2.8000,22.0000,0.1023
-2.8000,23.0000,0.1028
-2.8000,24.0000,0.1032
-2.8000,25.0000,0.1036
-2.8000,26.0000,0.1039
-2.8000,27.0000,0.1042
-2.8000,28.0000,0.1045
-2.8000,29.0000,0.1047
-2.8000,30.0000,0.1049
-2.8000,31.0000,0.1051
-2.8000,32.0000,0.1052
-2.7900,0.0000,1.4222E-40
-2.7900,1.0000,0.0120
-2.7900,2.0000,0.0439
-2.7900,3.0000,0.0599
-2.7900,4.0000,0.0694
-2.7900,5.0000,0.0761
-2.7900,6.0000,0.0812
-2.7900,7.0000,0.0853
-2.7900,8.0000,0.0887
-2.7900,9.0000,0.0916
-2.7900,10.0000,0.0941
-2.7900,11.0000,0.0964
-2.7900,12.0000,0.0983
-2.7900,13.0000,0.1001
-2.7900,14.0000,0.1016
-2.7900,15.0000,0.1030
-2.7900,16.0000,0.1042
-2.7900,17.0000,0.1052
-2.7900,18.0000,0.1062
-2.7900,19.0000,0.1070
-2.7900,20.0000,0.1078
-2.7900,21.0000,0.1085
-2.7900,22.0000,0.1090
-2.7900,23.0000,0.1095
-2.7900,24.0000,0.1099
-2.7900,25.0000,0.1103
-2.7900,26.0000,0.1106
-2.7900,27.0000,0.1109
-2.7900,28.0000,0.1111
-2.7900,29.0000,0.1114
-2.7900,30.0000,0.1115
-2.7900,31.0000,0.1117
-2.7900,32.0000,0.1118
-2.7800,0.0000,1.4222E-40
-2.7800,1.0000,0.0144
-2.7800,2.0000,0.0488
-2.7800,3.0000,0.0656
-2.7800,4.0000,0.0755
-2.7800,5.0000,0.0824
-2.7800,6.0000,0.0876
-2.7800,7.0000,0.0918
-2.7800,8.0000,0.0953
-2.7800,9.0000,0.0983
-2.7800,10.0000,0.1009
-2.7800,11.0000,0.1032
-2.7800,12.0000,0.1052
-2.7800,13.0000,0.1069
-2.7800,14.0000,0.1085
-2.7800,15.0000,0.1099
-2.7800,16.0000,0.1111
-2.7800,17.0000,0.1122
-2.7800,18.0000,0.1131
-2.7800,19.0000,0.1140
-2.7800,20.0000,0.1147
-2.7800,21.0000,0.1154
-2.7800,22.0000,0.1159
-2.7800,23.0000,0.1164
-2.7800,24.0000,0.1167
-2.7800,25.0000,0.1171
-2.7800,26.0000,0.1174
-2.7800,27.0000,0.1177
-2.7800,28.0000,0.1179
